statistics_code,statistics_name,value,date,classification,county_code,county_name,country_code,country_name
0-14,0-14,0.128,2011,age,praha,Praha,cz,Czechia
15-64,15-64,0.708,2011,age,praha,Praha,cz,Czechia
65-,65-,0.164,2011,age,praha,Praha,cz,Czechia
0-14,0-14,0.147,2011,age,benesov,Benešov,cz,Czechia
15-64,15-64,0.697,2011,age,benesov,Benešov,cz,Czechia
65-,65-,0.156,2011,age,benesov,Benešov,cz,Czechia
0-14,0-14,0.155,2011,age,beroun,Beroun,cz,Czechia
15-64,15-64,0.692,2011,age,beroun,Beroun,cz,Czechia
65-,65-,0.153,2011,age,beroun,Beroun,cz,Czechia
0-14,0-14,0.151,2011,age,kladno,Kladno,cz,Czechia
15-64,15-64,0.695,2011,age,kladno,Kladno,cz,Czechia
65-,65-,0.154,2011,age,kladno,Kladno,cz,Czechia
0-14,0-14,0.149,2011,age,kolin,Kolín,cz,Czechia
15-64,15-64,0.690,2011,age,kolin,Kolín,cz,Czechia
65-,65-,0.160,2011,age,kolin,Kolín,cz,Czechia
0-14,0-14,0.138,2011,age,kutna-hora,Kutná Hora,cz,Czechia
15-64,15-64,0.699,2011,age,kutna-hora,Kutná Hora,cz,Czechia
65-,65-,0.164,2011,age,kutna-hora,Kutná Hora,cz,Czechia
0-14,0-14,0.151,2011,age,melnik,Mělník,cz,Czechia
15-64,15-64,0.703,2011,age,melnik,Mělník,cz,Czechia
65-,65-,0.146,2011,age,melnik,Mělník,cz,Czechia
0-14,0-14,0.146,2011,age,mlada-boleslav,Mladá Boleslav,cz,Czechia
15-64,15-64,0.710,2011,age,mlada-boleslav,Mladá Boleslav,cz,Czechia
65-,65-,0.143,2011,age,mlada-boleslav,Mladá Boleslav,cz,Czechia
0-14,0-14,0.159,2011,age,nymburk,Nymburk,cz,Czechia
15-64,15-64,0.689,2011,age,nymburk,Nymburk,cz,Czechia
65-,65-,0.153,2011,age,nymburk,Nymburk,cz,Czechia
0-14,0-14,0.179,2011,age,praha-vychod,Praha-východ,cz,Czechia
15-64,15-64,0.694,2011,age,praha-vychod,Praha-východ,cz,Czechia
65-,65-,0.128,2011,age,praha-vychod,Praha-východ,cz,Czechia
0-14,0-14,0.185,2011,age,praha-zapad,Praha-západ,cz,Czechia
15-64,15-64,0.691,2011,age,praha-zapad,Praha-západ,cz,Czechia
65-,65-,0.124,2011,age,praha-zapad,Praha-západ,cz,Czechia
0-14,0-14,0.144,2011,age,pribram,Příbram,cz,Czechia
15-64,15-64,0.701,2011,age,pribram,Příbram,cz,Czechia
65-,65-,0.155,2011,age,pribram,Příbram,cz,Czechia
0-14,0-14,0.140,2011,age,rakovnik,Rakovník,cz,Czechia
15-64,15-64,0.708,2011,age,rakovnik,Rakovník,cz,Czechia
65-,65-,0.152,2011,age,rakovnik,Rakovník,cz,Czechia
0-14,0-14,0.145,2011,age,ceske-budejovice,České Budějovice,cz,Czechia
15-64,15-64,0.704,2011,age,ceske-budejovice,České Budějovice,cz,Czechia
65-,65-,0.152,2011,age,ceske-budejovice,České Budějovice,cz,Czechia
